date,model,measure,value
01-Apr-2019,biuc_lrexp,p84,2.03493023443031
01-Jul-2019,biuc_lrexp,p84,2.03688287135699
01-Oct-2019,biuc_lrexp,p84,2.03914046892097
01-Jan-2020,biuc_lrexp,p84,2.03991472637812
01-Apr-2020,biuc_lrexp,p84,2.01220532173022
01-Jul-2020,biuc_lrexp,p84,2.0190374039353
01-Oct-2020,biuc_lrexp,p84,2.03765753128099
01-Jan-2021,biuc_lrexp,p84,2.08682929183778
01-Apr-2021,biuc_lrexp,p84,2.12268384162549
01-Jul-2021,biuc_lrexp,p84,2.16425201812325
01-Oct-2021,biuc_lrexp,p84,2.20635152061904
01-Jan-2022,biuc_lrexp,p84,2.19473314000569
01-Apr-2022,biuc_lrexp,p84,2.26505264631337
01-Jul-2022,biuc_lrexp,p84,2.28494734908617
01-Oct-2022,biuc_lrexp,p84,2.32665131954342
01-Jan-2023,biuc_lrexp,p84,2.19311700067079
01-Apr-2023,biuc_lrexp,p84,2.19997589238973
01-Jul-2023,biuc_lrexp,p84,2.19373290588713
01-Oct-2023,biuc_lrexp,p84,2.19514271575516
01-Jan-2024,biuc_lrexp,p84,2.13811246535088
01-Apr-2024,biuc_lrexp,p84,2.15956373415142
01-Jul-2024,biuc_lrexp,p84,2.1592735186697
01-Oct-2024,biuc_lrexp,p84,2.16583069231164
01-Jan-2025,biuc_lrexp,p84,2.17633989399857
01-Apr-2025,biuc_lrexp,p84,2.20009299826077
01-Jul-2025,biuc_lrexp,p84,2.20679492449612
01-Oct-2025,biuc_lrexp,p84,2.21055221543054
01-Jan-2026,biuc_lrexp,p84,2.2156193464404
01-Apr-1960,biuc_lrexp,p95,1.83383067978853
01-Jul-1960,biuc_lrexp,p95,1.83097738113207
01-Oct-1960,biuc_lrexp,p95,1.83545659383443
01-Jan-1961,biuc_lrexp,p95,1.82974053424428
01-Apr-1961,biuc_lrexp,p95,1.82936828563204
01-Jul-1961,biuc_lrexp,p95,1.8409096491019
01-Oct-1961,biuc_lrexp,p95,1.83824399556586
01-Jan-1962,biuc_lrexp,p95,1.84771957501811
01-Apr-1962,biuc_lrexp,p95,1.84899613288476
01-Jul-1962,biuc_lrexp,p95,1.85140608156556
01-Oct-1962,biuc_lrexp,p95,1.85672142390172
01-Jan-1963,biuc_lrexp,p95,1.86024920724686
01-Apr-1963,biuc_lrexp,p95,1.86221256215502
01-Jul-1963,biuc_lrexp,p95,1.87500525799048
01-Oct-1963,biuc_lrexp,p95,1.87595477450151
01-Jan-1964,biuc_lrexp,p95,1.88420997788851
01-Apr-1964,biuc_lrexp,p95,1.88314439495631
01-Jul-1964,biuc_lrexp,p95,1.89519458757484
01-Oct-1964,biuc_lrexp,p95,1.89929586791621
01-Jan-1965,biuc_lrexp,p95,1.90855461348957
01-Apr-1965,biuc_lrexp,p95,1.92232202954408
01-Jul-1965,biuc_lrexp,p95,1.92518101310542
01-Oct-1965,biuc_lrexp,p95,1.934497527786
